name,6_price,size,metro,bus,school,hospital,shop,city,year,city_name
荣民宫园中央,14830,3.0,4.0,4.0,4.0,4.0,3.0,4,4.0,未央区
龙湖枫香庭,17615,4.0,5.0,5.0,4.0,3.0,4.0,4,7.0,未央区
万达公馆,21709,1.0,4.0,4.0,5.0,3.0,4.0,4,7.0,未央区
佳家 SPORT ,10426,2.0,3.0,2.0,4.0,3.0,4.0,4,16.0,未央区
保利金香槟,18927,4.0,4.0,4.0,4.0,2.0,2.0,4,6.0,未央区
林邑,17760,3.0,4.0,3.0,4.0,4.0,3.0,4,4.0,未央区
裕昌太阳城,14545,2.0,4.0,3.0,4.0,4.0,4.0,5,12.0,雁塔区
南飞鸿广场,14712,5.0,4.0,4.0,2.0,3.0,4.0,5,6.0,雁塔区
竹园阳光嘉苑,13728,3.0,2.0,3.0,4.0,4.0,2.0,5,11.0,雁塔区
御笔华府,14891,4.0,4.0,3.0,3.0,4.0,4.0,5,9.0,雁塔区
市政府小区,11455,4.0,3.0,3.0,3.0,4.0,3.0,5,11.0,雁塔区
融侨馨苑（东区）,18825,4.0,4.0,3.0,4.0,4.0,3.0,5,12.0,雁塔区
金裕花园,14176,3.0,4.0,5.0,5.0,3.0,5.0,5,17.0,雁塔区
翡丽城,20093,4.0,4.0,2.0,4.0,4.0,4.0,2,8.0,莲湖区
华府御城,14348,4.0,4.0,4.0,2.0,3.0,3.0,2,8.0,莲湖区
天赐苑,14198,4.0,3.0,1.0,3.0,5.0,4.0,2,11.0,莲湖区
八水洋房,12579,4.0,4.0,4.0,5.0,3.0,2.0,2,17.0,莲湖区
中天雅苑,15692,3.0,4.0,4.0,3.0,4.0,4.0,2,13.0,莲湖区
汉杰枫尚,11831,5.0,4.0,4.0,5.0,4.0,4.0,2,16.0,莲湖区
盛世太白,14060,4.0,3.0,3.0,4.0,4.0,4.0,4,14.0,碑林区
骊马豪城,13282,4.0,4.0,4.0,3.0,4.0,4.0,4,17.0,碑林区
东方星座,12321,2.0,4.0,5.0,4.0,4.0,4.0,4,16.0,碑林区
东新城市花园,14678,4.0,4.0,2.0,3.0,4.0,4.0,4,14.0,碑林区
