name,6_price,size,metro,bus,school,hospital,shop,city,year,city_name
恒大名都,13808,4.0,4.0,3.0,3.0,4.0,3.0,4,10.0,未央区
锦园新世纪花园社区,15822,3.0,3.0,2.0,5.0,4.0,4.0,4,18.0,未央区
万科金色悦城,15352,5.0,4.0,3.0,4.0,2.0,4.0,4,5.0,未央区
绿地香树花城,15345,5.0,3.0,4.0,3.0,3.0,4.0,4,7.0,未央区
万科金域东郡,16539,1.0,4.0,3.0,2.0,4.0,3.0,4,5.0,未央区
华宇时间城,12771,5.0,2.0,4.0,4.0,1.0,2.0,4,8.0,未央区
首创漫香郡,21235,3.0,4.0,4.0,2.0,3.0,3.0,4,6.0,未央区
中海开元壹号（东区）,16410,3.0,4.0,3.0,3.0,3.0,3.0,4,4.0,未央区
浐灞一号,13928,4.0,4.0,1.0,3.0,4.0,4.0,4,6.0,未央区
金科天籁城,14486,4.0,4.0,3.0,4.0,3.0,3.0,4,6.0,未央区
华润二十四城 ,17732,4.0,4.0,4.0,4.0,3.0,3.0,4,9.0,未央区
龙记玖玺,15139,4.0,3.0,4.0,5.0,3.0,3.0,4,4.0,未央区
金桥太阳岛,13808,4.0,3.0,3.0,5.0,3.0,3.0,4,15.0,未央区
西派国际,15873,4.0,4.0,2.0,4.0,3.0,4.0,4,4.0,未央区
万科大明宫,29904,3.0,4.0,3.0,3.0,4.0,2.0,4,7.0,未央区
旭景崇盛园,12541,4.0,4.0,5.0,4.0,4.0,5.0,4,6.0,未央区
旭景兴园,11997,3.0,3.0,4.0,3.0,4.0,5.0,4,10.0,未央区
华远君城（西区）,13609,3.0,3.0,1.0,5.0,3.0,4.0,4,9.0,未央区
华城国际,14437,3.0,3.0,4.0,3.0,4.0,3.0,5,12.0,雁塔区
华城泊郡,14570,3.0,5.0,4.0,3.0,4.0,4.0,5,9.0,雁塔区
海伦国际,15632,3.0,3.0,3.0,4.0,4.0,3.0,5,9.0,雁塔区
海亮唐宁府,22839,4.0,4.0,1.0,5.0,3.0,3.0,5,2.0,雁塔区
紫郡长安（南区）,13532,3.0,3.0,4.0,4.0,5.0,4.0,5,10.0,雁塔区
曲江紫金城,14098,4.0,4.0,4.0,4.0,3.0,4.0,5,5.0,雁塔区
中铁铂丰尚都城,16820,3.0,2.0,4.0,4.0,4.0,2.0,5,3.0,雁塔区
高山流水和城,15817,3.0,4.0,2.0,5.0,4.0,4.0,5,10.0,雁塔区
联盟新城,12857,3.0,2.0,5.0,4.0,4.0,2.0,5,8.0,雁塔区
融尚中央住区,15582,4.0,3.0,4.0,3.0,3.0,3.0,5,6.0,雁塔区
绿地与湖,13648,4.0,3.0,3.0,3.0,4.0,3.0,5,22.0,雁塔区
华安紫竹苑,14858,3.0,2.0,3.0,4.0,4.0,2.0,5,3.0,雁塔区
豪盛时代华城,18400,4.0,4.0,2.0,3.0,4.0,4.0,5,18.0,雁塔区
我爱我家,14406,3.0,4.0,4.0,5.0,4.0,2.0,5,16.0,雁塔区
唐园小区,12592,5.0,4.0,4.0,5.0,4.0,3.0,5,22.0,雁塔区
金泰假日花城南区,17527,3.0,4.0,2.0,5.0,4.0,5.0,5,11.0,雁塔区
南方星座,13370,3.0,3.0,3.0,3.0,3.0,3.0,5,12.0,雁塔区
宏府鹍翔九天,12869,3.0,4.0,3.0,4.0,4.0,3.0,2,8.0,莲湖区
西市佳园,15991,3.0,4.0,3.0,2.0,4.0,4.0,2,10.0,莲湖区
公园天下,19613,3.0,4.0,4.0,3.0,4.0,3.0,2,12.0,莲湖区
恒大翡翠华庭,18661,4.0,3.0,2.0,3.0,3.0,4.0,2,7.0,莲湖区
亿润领城,15301,4.0,3.0,3.0,2.0,4.0,5.0,2,5.0,莲湖区
龙湖水晶郦城,19308,3.0,4.0,4.0,3.0,4.0,4.0,2,8.0,莲湖区
旭景新港,14196,3.0,3.0,4.0,4.0,4.0,5.0,2,10.0,莲湖区
宫园壹号（一期）,16129,2.0,5.0,5.0,5.0,4.0,5.0,2,5.0,莲湖区
西安锦园,19551,3.0,4.0,4.0,5.0,4.0,2.0,2,20.0,莲湖区
丰盛园小区,12694,4.0,4.0,4.0,4.0,4.0,4.0,2,13.0,莲湖区
天朗大兴郡蔚蓝君城,15803,4.0,4.0,3.0,5.0,4.0,5.0,2,7.0,莲湖区
东尚观湖,15862,3.0,3.0,3.0,5.0,3.0,3.0,2,11.0,莲湖区
蔚蓝印象,15205,4.0,4.0,1.0,4.0,3.0,4.0,2,16.0,莲湖区
金辉天鹅湾,16193,4.0,4.0,3.0,3.0,4.0,4.0,2,8.0,莲湖区
上和城,16598,4.0,4.0,2.0,3.0,4.0,4.0,2,8.0,莲湖区
旭景名园,14780,3.0,4.0,4.0,3.0,4.0,2.0,2,19.0,莲湖区
大唐世家,15532,5.0,4.0,5.0,4.0,3.0,3.0,2,16.0,莲湖区
李家村万达广场,12945,2.0,4.0,5.0,5.0,4.0,5.0,4,14.0,碑林区
中贸广场,14329,4.0,4.0,4.0,5.0,4.0,5.0,4,9.0,碑林区
新旅城,15084,3.0,4.0,3.0,2.0,4.0,3.0,4,11.0,碑林区
伊顿公馆,30105,3.0,4.0,4.0,3.0,4.0,4.0,4,8.0,碑林区
九锦台,15623,2.0,3.0,5.0,3.0,3.0,3.0,4,8.0,碑林区
翡翠明珠,16316,3.0,4.0,4.0,3.0,4.0,4.0,4,14.0,碑林区
学府首座,18824,3.0,4.0,4.0,5.0,4.0,4.0,4,7.0,碑林区
钟楼小区,15270,3.0,4.0,5.0,3.0,4.0,4.0,4,16.0,碑林区
凯旋城,17774,4.0,4.0,3.0,4.0,4.0,4.0,4,12.0,碑林区
东泰城市之光北区,29675,3.0,4.0,3.0,5.0,4.0,4.0,4,10.0,碑林区
长安壹栋,14300,4.0,4.0,4.0,2.0,4.0,3.0,4,9.0,碑林区
海星未来城,15538,3.0,4.0,2.0,4.0,4.0,5.0,4,10.0,碑林区
华豪丽晶,22032,3.0,5.0,4.0,3.0,4.0,2.0,4,10.0,碑林区
长安大街3号,13829,4.0,5.0,3.0,2.0,4.0,2.0,4,8.0,碑林区
宏信国际花园,18122,3.0,4.0,4.0,3.0,4.0,3.0,4,8.0,碑林区
东方星苑,12621,3.0,5.0,4.0,4.0,4.0,5.0,4,16.0,碑林区
高山流水星币传说,21669,4.0,4.0,2.0,5.0,3.0,4.0,4,9.0,碑林区
飞天花园小区,11404,4.0,3.0,3.0,3.0,4.0,3.0,4,20.0,碑林区
绿地乐和城,12377,5.0,4.0,5.0,4.0,4.0,4.0,4,8.0,碑林区
兰蒂斯城（一期）,15991,4.0,4.0,4.0,5.0,4.0,4.0,4,12.0,碑林区
佳和苑,12154,2.0,4.0,4.0,3.0,4.0,4.0,4,18.0,碑林区
铁路局家属院,23505,3.0,4.0,3.0,3.0,4.0,1.0,4,3.0,碑林区
华清学府城,14137,3.0,4.0,4.0,5.0,4.0,4.0,2,6.0,新城区
恒基碧翠锦华,15651,4.0,4.0,4.0,4.0,4.0,4.0,2,8.0,新城区
保亿风景大院,15433,4.0,3.0,4.0,4.0,4.0,3.0,2,15.0,新城区
唐韵三坊（一期）,12942,4.0,4.0,2.0,4.0,4.0,4.0,2,11.0,新城区
彩云郡,11919,3.0,4.0,4.0,3.0,3.0,4.0,2,12.0,新城区
紫昕花庭,13095,3.0,4.0,3.0,3.0,4.0,3.0,2,15.0,新城区
新东尚,13678,3.0,4.0,4.0,2.0,4.0,1.0,2,11.0,新城区
